SeqID,Cate Code
0_T1YY48,0
1_T1W3U1,0
2_D4NXK9,0
3_T1YX04,0
4_G3FJP9,0
5_H6V8W7,0
6_E2J818,0
7_T1W269,0
8_B0Z0I6,0
9_W5U182,0
10_A0A0A1EDK3,0
11_I1VCC0,0
12_H2D5U7,0
13_K4F5F2,0
14_T1YWN6,0
15_F4ZE41,0
16_K9LGK1,0
17_A0A0A1EJ46,0
18_I1VCK1,0
19_D5GX86,0
20_C5IHW8,0
21_I3TC36,0
22_B5AIJ1,0
23_A0A023Q1R6,0
24_V9Q6N8,0
25_R4TR50,0
26_T1YY04,0
27_T1YY18,0
28_T1WQ27,0
29_I1VCF9,0
30_F8U978,0
31_A0A090BC31,0
32_W8P2Z1,0
33_A0A0P0ITY6,0
34_D4NXL3,0
35_B5LRY0,0
36_W5U1R4,0
37_I1VCU8,0
38_A0A0P0ILJ7,0
39_B2KPQ9,0
40_B2KPQ8,0
41_W5S2Z7,0
42_T1WNZ2,0
43_A0A0S2A6X6,0
44_T1YX98,0
45_A0A0A1EF58,0
46_I1VCZ6,0
47_I1VCU6,0
48_I1VCJ0,0
49_W5S394,0
50_W5S4E8,0
51_A0A0A7RJV5,0
52_I1VCS6,0
53_I1VCY9,0
54_T1W2L7,0
55_A0A097BUD2,0
56_R9Z008,0
57_G3FJT1,0
58_G3FJR8,0
59_A0A023Q3R5,0
60_F5CP59,0
61_F5CNP5,0
62_F5CNK8,0
63_E5G9J1,0
64_B0Z0I1,0
65_X2GAG8,0
66_F2WQG4,0
67_I1U3R1,0
68_A0A0B5JDS4,0
69_A0A0G3U5M3,0
70_X2GAK3,0
71_A0A0G4KBZ5,0
72_A0A0D5CSK1,0
73_B3UYY0,0
74_X4R9C0,0
75_A0A0K0MSF0,0
76_K4HUZ6,0
77_H9NHK2,0
78_G1CVW6,0
79_I6TSM5,0
80_A0A024BN16,0
81_K4P5W1,0
82_W0P2Y5,0
83_A0A088MTZ9,0
84_A0A0K0MRQ8,0
85_W5RRA2,0
86_A0A0D5CRH0,0
87_A0A089QDS8,0
88_I6TWG5,0
89_A0A0B5JDW9,0
90_F1D8A1,0
91_G1CVE2,0
92_A0A1B1W654,0
93_G9CT48,0
94_A0A096ZLE7,0
95_M1TFC0,0
96_A0A0D5CS04,0
97_H9BYL1,0
98_A9CTT0,0
99_I6TRF6,0
100_A9CT27,0
101_G1CV59,0
102_A0A1B1W685,0
103_A0A0D5CSA0,0
104_W5RRR6,0
105_G8IHV9,0
106_I6SZ28,0
107_A0A024BNK3,0
108_A0A088MUM0,0
109_A0A1Y0AVD8,0
110_H9BYM9,0
111_F2WQF3,0
112_H9NHN0,0
113_K4P813,0
114_A0A0D5CTH7,0
115_A0A067Z9Z3,0
116_X2GA47,0
117_F2WQB4,0
118_V5W9Y5,0
119_L7W3L1,0
120_A0A0B5JIS4,0
121_H9NJT0,0
122_T1W1A4,0
123_A0A1B1W689,0
124_A0A0B5JPQ9,0
125_G4XSY5,0
126_L7WYD4,0
127_A0A0B5JPQ6,0
128_K4HTR3,0
129_R9XTU2,0
130_R4V0C9,0
131_A0A0D5CS72,0
132_A0A024BP50,0
133_A0A0B5J8W9,0
134_A0A0H4U4X1,0
135_I6THZ5,0
136_D0EHF3,0
137_A0A088N6S7,0
138_H9NJV1,0
139_R9XWE8,0
140_X2GFA8,0
141_G1CTT8,0
142_A0A024BP19,0
143_A0A096ZL07,0
144_I6TQX3,0
145_G9CTH5,0
146_A0A0D5CRJ1,0
147_G1CTS0,0
148_K7T8P9,0
149_A9CT87,0
150_I2DBY0,0
151_G1CTQ4,0
152_I7CXL0,0
153_A0A0H4U8K7,0
154_A0A0D5CRK8,0
155_A0A0A1EAZ5,0
156_L7X2S9,0
157_X2G7C9,0
158_A0A0D5CU50,0
159_K4P5Y9,0
160_A0A0B5JKW4,0
161_M1S309,0
162_T1YW77,0
163_B3UYK5,0
164_K4P7X2,0
165_A0A024BLK9,0
166_A0A0A1EBG5,0
167_A0A0K0MU86,0
168_R9XWM0,0
169_A0A0G3U4M6,0
170_A0A059U0S0,0
171_A0A1B0V464,0
172_A0A1V0N9I3,0
173_F1D8A4,0
174_A0A0C5Q0V5,0
175_A0A0G3VKE0,0
176_A9CTZ2,0
177_M1TFG8,0
178_A0A1V0NA68,0
179_D0EG83,0
180_K4PIS4,0
181_A0A0K0MT46,0
182_K4HUW0,0
183_A0A024BP87,0
184_A0A024BN45,0
185_X2GET5,0
186_K0A1I5,0
187_B3UYP3,0
188_B3UYJ5,0
189_X2GF80,0
190_A0A0K0MRI5,0
191_B3UYN1,0
192_H9A0F5,0
193_A0A0S1TKG9,0
194_I6TRI8,0
195_A0A1V0N928,0
196_A0A1V0NAQ5,0
197_X4R6J2,0
198_X4R9D2,0
199_I6R5J7,0
200_R9XU13,0
201_X4QUZ7,0
202_C0KGN8,0
203_Q3I2W4,0
204_A5HA52,0
205_A0A088MW47,0
206_F5CNL9,0
207_D0UHK8,0
208_A8SV84,0
209_K0DE00,0
210_F1CLZ6,0
211_E2GDM9,0
212_G3KDP1,0
213_B5LS04,0
214_B0F381,0
215_A0A0P0UUW0,0
216_A1XT13,0
217_E2GDL3,0
218_A8SU93,0
219_H9BFL4,0
220_B5LRY9,0
221_A0A088N8U9,0
222_B3U0E2,0
223_S5RS42,0
224_A2TJQ5,0
225_A7DY99,0
226_A0A088MWD2,0
227_C3S3M3,0
228_H9CBL9,0
229_A8SW54,0
230_A0A088MW49,0
231_B6S3J8,0
232_H6TET1,0
233_X5D1V7,0
234_J9QD79,0
235_A8SU69,0
236_C1JDB8,0
237_F6N405,0
238_E5G9K3,0
239_A8SUQ1,0
240_D7R1V4,0
241_B6V1T9,0
242_B3GBP8,0
243_F6N2K8,0
244_Q3I312,0
245_M9WQJ9,0
246_A9Q2F7,0
247_A5HAF8,0
248_A0A088MW98,0
249_B5LRT0,0
250_H9BFN5,0
251_H2EHY3,0
252_A8SUE3,0
253_B5APG5,0
254_A0A088MZH5,0
255_C1JDM6,0
256_C8BME7,0
257_B5LRY4,0
258_C3S4I8,0
259_G3KCY5,0
260_G0T760,0
261_C9K706,0
262_U3MZ40,0
263_D5JXH8,0
264_H9BFL5,0
265_B0Z0J8,0
266_A0A088MZC3,0
267_H9CBT2,0
268_C3S3W5,0
269_C8BMK5,0
270_G4VWZ5,0
271_G0T6J9,0
272_A0A0P0UU86,0
273_B6S4M9,0
274_B0F2T3,0
275_B2KPP8,0
276_U3MZ09,0
277_C4TNU2,0
278_C0L4D7,0
279_F5CP44,0
280_C8BMK7,0
281_A0A142G4Z9,0
282_F5CNW0,0
283_U3MYV1,0
284_C7DV48,0
285_E2GDN9,0
286_U3MX69,0
287_B6S3P0,0
288_G3KDC2,0
289_A0A146KZJ1,0
290_H9CBQ6,0
291_A0A146L1Q5,0
292_B0F2V6,0
293_B6V1Q3,0
294_E0X5S8,0
295_D7R1Z7,0
296_H9CC03,0
297_C3S4D4,0
298_B0FNH0,0
299_D7PVL4,0
300_H9CBN7,0
301_F2XHG1,0
302_G0T6D9,0
303_A0A088MZC0,0
304_A0A088MWP8,0
305_F6N2Z7,0
306_B9VEA4,0
307_K0DEE3,0
308_E0X5U2,0
309_C8BMJ4,0
310_A8SWZ1,0
311_A0A184WBB2,0
312_F6N3G8,0
313_A0A146KYN8,0
314_C3S6Y5,0
315_E3UUT8,0
316_D7RY28,0
317_K0DAU1,0
318_F6KNX5,0
319_A8SXF5,0
320_A0A088N8K2,0
321_G0T6J1,0
322_D2XZS6,0
323_F1C8Q2,0
324_A5HAG3,0
325_D5JYI2,0
326_J9ZYH8,0
327_H6TF72,0
328_K0DGT2,0
329_M9WLE7,0
330_D3YET5,0
331_A0A0K2B7T7,0
332_H9CBV9,0
333_A0A184WBH9,0
334_A0A088MW99,0
335_F2YBV5,0
336_Q1HD62,0
337_U3MX96,0
338_A0A097HUG1,0
339_F2WYX1,0
340_C1JDC2,0
341_A5HAH1,0
342_B5LRP7,0
343_A0A097HUH4,0
344_D5JXC3,0
345_B6V1V0,0
346_D7PVT2,0
347_D0UHQ3,0
348_A0A0K1JSH5,0
349_B6S464,0
350_B9VEA2,0
351_J9QD82,0
352_C3S4T9,0
353_E5G9L4,0
354_D3YES9,0
355_F5CNW9,0
356_E2GDN3,0
357_Q0QMF3,0
358_I3QKK4,0
359_B5LS21,0
360_Q0QMJ0,0
361_G1UEL1,0
362_Q3I2Y5,0
363_A2TJQ7,0
364_F2YC06,0
365_A0A1B4ZDN3,0
366_B6V1M2,0
367_C5WBZ8,0
368_V5LCA4,0
369_B5LRV8,0
370_B5B1S6,0
371_H9CBP7,0
372_B5LRM9,0
373_E5F8R3,0
374_R9Z029,0
375_A0A0A7RPS4,0
376_B2CCN8,0
377_G3FC38,0
378_G3KBK9,0
379_D5L961,0
380_E2J817,0
381_K4F4W6,0
382_G8GSS8,0
383_K4LZL2,0
384_A0A146FSF0,0
385_A0A0S1YEY4,0
386_F2XXI1,0
387_A0A0S1YEU6,0
388_A0A146FVG7,0
389_G3FCD3,0
390_K4F516,0
391_A0A146FTF4,0
392_A0A0P0J876,0
393_F2XXH7,0
394_W5ZRV7,0
395_G3KBX5,0
396_G3FC82,0
397_A0A089PKP6,0
398_R9UJK4,0
